Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|15/01/2020|Vente|208850,00|20||LOT|A012|LES PLATANES|1960|SERVAS|01|405||C|716||||||||||||0|1|Maison||120|6|S||805
|||||||000001|16/01/2020|Vente|154816,00|240||RTE|0037|DE LA CROIX BLANCHE|1560|SAINT-TRIVIER-DE-COURTES|01|388||B|431||||||||||||0|1|Maison||127|4|S||729
|||||||000001|16/01/2020|Vente|154816,00||||B043|LA CROIX BLANCHE|1560|SAINT-TRIVIER-DE-COURTES|01|388||B|647||||||||||||0||||||T||1364
|||||||000001|16/01/2020|Vente|154816,00||||B043|LA CROIX BLANCHE|1560|SAINT-TRIVIER-DE-COURTES|01|388||B|649||||||||||||0||||||S||564
|||||||000001|17/01/2020|Vente|160000,00||||B191|LE VILLAGE|1190|SERMOYER|01|402||AD|353||||||||||||0||||||S||911
|||||||000001|17/01/2020|Vente|85000,00|47||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AB|75||||||||||||0|1|Maison||120|5|S||116
|||||||000001|07/01/2020|Vente|210000,00|145|C|RTE|0085|DU BOURG|1380|BAGE-DOMMARTIN|01|25||F|2172||||||||||||0|1|Maison||92|5|S||900
|||||||000001|07/01/2020|Vente|210000,00||||B004|BAGE LA VILLE|1380|BAGE-DOMMARTIN|01|25||F|2176||||||||||||0||||||S||34
|||||||000001|07/01/2020|Vente|210000,00||||B004|BAGE LA VILLE|1380|BAGE-DOMMARTIN|01|25||F|2177||||||||||||0||||||S||989
|||||||000001|17/01/2020|Vente|268200,00|405||RTE|0093|DE LA CHAPELLE|1570|FEILLENS|01|159||AM|1050||||||||||||0|1|Maison||114|5|S||642
|||||||000001|17/01/2020|Vente|268200,00|405||RTE|0093|DE LA CHAPELLE|1570|FEILLENS|01|159||AM|1050||||||||||||0|1|Maison||114|5|P||369
